text_id,sample_date,sample_id,result_value,percentage,median,anomaly_score,is_anomaly
AD23-00429.060,2023-11-15,AD23-00429.060,90042,1.06,218747.0,-1,True
AD23-00429.032,2023-11-15,AD23-00429.032,71396,2.559,319982.0,-1,True
AD24-00051.028,2024-02-04,AD24-00051.028,1661613,49.707,884428.5,-1,True
AD23-00429.048,2023-11-15,AD23-00429.048,1763817,18.777,884428.5,-1,True
AD22-00036.011,2022-12-26,AD22-00036.011,177578,3.017,143990.0,-1,True
AD23-00429.048,2023-11-15,AD23-00429.048,373063,3.972,225253.0,-1,True
AD24-00051.013,2024-02-04,AD24-00051.013,119761,6.292,319982.0,-1,True
AD23-00399.019,2023-10-25,AD23-00399.019,107048,3.553,91252.0,-1,True
AD23-00429.008,2023-11-15,AD23-00429.008,676198,7.947,319781.0,-1,True
AD22-00003.009,2022-08-15,AD22-00003.009,311323,0.333752,319982.0,-1,True
AD24-00051.016,2024-02-04,AD24-00051.016,136442,11.031,671922.0,-1,True
AD23-00394.023,2023-10-22,AD23-00394.023,61896,1.735,91252.0,-1,True
AD23-00429.002,2023-11-15,AD23-00429.002,3555513,31.255,319781.0,-1,True
AD22-00017.004,2022-12-12,AD22-00017.004,172840,1.604,218747.0,-1,True
AD23-00429.044,2023-11-15,AD23-00429.044,447596,7.128,218747.0,-1,True
AD23-00429.030,2023-11-15,AD23-00429.030,286879,3.777,218747.0,-1,True
AD23-00429.006,2023-11-15,AD23-00429.006,213935,2.26,88015.0,-1,True
AD23-00429.034,2023-11-15,AD23-00429.034,321538,3.726,80864.0,-1,True
AD23-00429.057,2023-11-15,AD23-00429.057,1065567,13.518,884428.5,-1,True
AD22-00013.004,2022-12-07,AD22-00013.004,172368,3.123078,71625.0,-1,True
AD23-00429.003,2023-11-15,AD23-00429.003,177214,2.171,319982.0,-1,True
AD23-00002.009,2023-01-02,AD23-00002.009,236434,2.469,143990.0,-1,True
AD23-00429.046,2023-11-15,AD23-00429.046,167431,2.665,218747.0,-1,True
AD23-00434.017,2023-11-19,AD23-00434.017,95017,3.658,63368.0,-1,True
AD23-00399.008,2023-10-25,AD23-00399.008,324402,4.565,319982.0,-1,True
AD23-00394.020,2023-10-22,AD23-00394.020,111852,2.384,319982.0,-1,True
